"Region, subregion, country or area *",Country code,Type,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Lithuania,440,Country/Area,2567.41,2569.62,2578.05,2591.37,2608.53,2628.75,2651.63,2677.01,2704.99,2735.87,2769.88,2806.92,2846.39,2887.07,2927.39,2966.17,3002.79,3037.46,3070.70,3103.51,3136.59,3170.08,3203.63,3236.74,3268.65,3298.88,3327.26,3354.07,3379.79,3405.17,3430.76,3456.14,3481.13,3506.55,3533.49,3562.40,3594.06,3627.33,3658.50,3682.56,3696.04,3697.45,3688.10,3670.65,3649.14,3626.61,3603.76,3579.91,3555.14,3529.19,3501.84,3473.62,3444.78,3414.37,3381.13,3344.26,3303.33,3258.98,3212.87,3167.27,3123.83,3083.40,3045.56,3008.94,2971.50,2931.87,2889.56,2845.42,2801.27,2759.63,2722.29
Namibia,516,Country/Area,514.38,523.96,534.16,544.90,556.14,567.85,580.02,592.70,605.90,619.70,634.14,649.27,665.12,681.63,698.80,716.59,734.87,753.68,773.43,794.59,817.47,842.35,868.95,896.26,922.90,947.93,971.12,992.96,1014.06,1035.38,1057.72,1080.94,1105.10,1131.62,1162.28,1198.15,1239.92,1286.80,1336.55,1386.01,1432.90,1476.40,1516.95,1555.10,1591.83,1627.87,1663.38,1698.03,1731.64,1763.86,1794.58,1823.67,1851.52,1879.11,1907.74,1938.32,1971.32,2006.52,2043.38,2081.04,2118.88,2156.70,2194.78,2233.51,2273.43,2314.90,2358.04,2402.62,2448.30,2494.52,2540.92
Gambia,270,Country/Area,304.90,309.08,313.53,318.38,323.76,329.66,336.12,343.01,350.23,357.63,365.05,372.44,379.89,387.64,396.01,405.26,415.48,426.62,438.59,451.23,464.40,478.11,492.42,507.43,523.25,539.99,557.81,576.76,596.54,616.77,637.25,657.58,678.11,700.20,725.69,755.79,791.14,831.01,873.44,915.63,955.60,992.67,1027.48,1060.86,1094.22,1128.58,1164.09,1200.52,1238.12,1277.12,1317.71,1360.07,1404.26,1449.93,1496.52,1543.75,1591.44,1639.85,1689.29,1740.28,1793.20,1848.14,1905.02,1963.71,2024.04,2085.86,2149.13,2213.90,2280.09,2347.70,2416.66
Botswana,72,Country/Area,412.54,424.00,435.03,445.33,454.78,463.35,471.23,478.66,486.08,493.96,502.73,512.69,523.78,535.69,547.87,560.00,571.96,584.10,596.95,611.30,627.71,646.35,667.10,689.91,714.70,741.35,769.98,800.53,832.47,865.07,897.86,930.41,962.86,996.12,1031.44,1069.59,1110.95,1154.90,1200.07,1244.48,1286.76,1326.32,1363.54,1399.11,1434.06,1469.17,1504.72,1540.42,1575.83,1610.26,1643.33,1674.67,1704.64,1734.39,1765.53,1799.08,1835.91,1875.46,1915.64,1953.50,1987.11,2015.41,2039.55,2062.55,2088.62,2120.72,2159.93,2205.08,2254.07,2303.70,2351.63
Gabon,266,Country/Area,473.30,476.38,478.66,480.54,482.33,484.31,486.64,489.44,492.76,496.59,500.92,505.79,511.29,517.57,524.89,533.36,543.12,554.05,565.76,577.64,589.32,600.61,611.71,622.91,634.74,647.54,661.40,676.26,692.08,708.79,726.34,744.70,763.93,784.06,805.12,827.11,850.05,873.87,898.47,923.71,949.49,975.79,1002.57,1029.77,1057.25,1084.95,1112.94,1141.33,1170.06,1199.06,1228.36,1258.01,1288.31,1319.95,1353.79,1390.55,1430.14,1472.57,1518.54,1568.93,1624.15,1684.63,1749.68,1817.07,1883.80,1947.69,2007.88,2064.81,2119.28,2172.58,2225.73
Lesotho,426,Country/Area,704.69,716.81,729.00,741.34,753.90,766.76,779.97,793.59,807.66,822.21,837.26,852.89,869.13,886.06,903.76,922.31,941.80,962.28,983.68,1005.91,1028.93,1052.62,1077.10,1102.89,1130.63,1160.80,1193.52,1228.53,1265.21,1302.67,1340.26,1377.81,1415.36,1452.73,1489.69,1526.13,1561.69,1596.40,1630.99,1666.56,1703.76,1742.53,1782.28,1822.24,1861.32,1898.60,1934.29,1968.05,1997.52,2019.73,2032.81,2035.74,2029.83,2018.36,2005.95,1996.12,1989.93,1986.93,1987.13,1990.14,1995.58,2003.79,2014.99,2028.53,2043.45,2059.01,2075.04,2091.53,2108.33,2125.27,2142.25
North Macedonia,807,Country/Area,1254.44,1290.42,1320.98,1347.47,1370.98,1392.46,1412.61,1432.02,1451.02,1469.85,1488.67,1507.65,1527.11,1547.45,1569.14,1592.44,1617.80,1644.95,1672.40,1698.15,1720.81,1739.53,1754.95,1769.00,1784.40,1803.01,1825.56,1851.07,1877.69,1902.72,1924.20,1941.53,1955.25,1965.89,1974.41,1981.54,1987.54,1992.28,1995.51,1996.86,1996.22,1993.30,1988.66,1984.02,1981.71,1983.26,1989.44,1999.59,2012.05,2024.39,2034.82,2042.84,2048.93,2053.43,2057.04,2060.28,2063.13,2065.41,2067.31,2069.03,2070.74,2072.48,2074.28,2076.07,2077.78,2079.34,2080.75,2082.00,2082.96,2083.46,2083.38
Slovenia,705,Country/Area,1473.09,1481.63,1491.68,1502.84,1514.79,1527.21,1539.79,1552.26,1564.36,1575.87,1586.63,1596.55,1605.64,1614.02,1621.89,1629.44,1636.66,1643.70,1651.09,1659.56,1669.58,1681.43,1694.98,1709.98,1725.97,1742.62,1759.72,1777.32,1795.64,1815.11,1835.84,1857.85,1880.71,1903.55,1925.31,1945.13,1962.87,1978.50,1991.39,2000.83,2006.40,2007.78,2005.35,2000.56,1995.33,1991.13,1988.58,1987.46,1987.38,1987.63,1987.71,1987.46,1987.27,1987.86,1990.23,1994.98,2002.43,2012.13,2023.05,2033.81,2043.34,2051.28,2057.83,2063.12,2067.49,2071.20,2074.21,2076.40,2077.84,2078.65,2078.93
Guinea-Bissau,624,Country/Area,535.44,544.41,552.57,560.36,568.16,576.13,584.34,592.67,600.93,608.84,616.14,622.75,628.88,635.01,641.82,649.80,659.00,669.24,680.43,692.41,704.94,718.36,732.52,746.18,757.67,765.99,770.42,771.73,772.14,774.73,781.68,793.80,810.40,830.21,851.28,872.16,892.53,912.76,933.05,953.78,975.27,997.52,1020.35,1043.42,1066.35,1088.85,1110.84,1132.51,1154.37,1177.13,1201.31,1227.11,1254.45,1283.30,1313.49,1344.93,1377.58,1411.55,1446.94,1483.92,1522.60,1563.00,1604.98,1648.26,1692.43,1737.21,1782.43,1828.15,1874.30,1920.92,1968.00
Latvia,428,Country/Area,1926.57,1934.00,1945.96,1961.66,1980.40,2001.57,2024.68,2049.31,2075.18,2102.01,2129.58,2157.66,2185.87,2213.81,2240.95,2266.94,2291.47,2314.51,2336.32,2357.39,2378.02,2398.38,2418.28,2437.18,2454.40,2469.44,2482.20,2492.98,2502.52,2511.74,2521.38,2531.02,2540.44,2550.93,2564.12,2580.76,2602.15,2626.91,2649.84,2663.94,2664.45,2649.16,2620.25,2582.66,2543.63,2508.48,2478.83,2453.31,2430.55,2408.09,2384.15,2358.69,2332.53,2305.85,2278.92,2252.00,2225.06,2198.09,2171.25,2144.78,2118.86,2093.61,2069.02,2044.95,2021.22,1997.68,1974.27,1951.10,1928.46,1906.74,1886.20
Bahrain,48,Country/Area,115.61,116.83,119.59,123.50,128.25,133.58,139.26,145.11,150.98,156.78,162.43,167.90,173.14,178.14,182.89,187.43,191.79,196.06,200.65,206.04,212.61,220.31,229.15,239.53,251.91,266.54,283.75,303.17,323.47,342.80,359.90,374.12,385.95,396.45,407.23,419.43,433.48,448.98,465.20,481.08,495.93,509.76,523.08,536.21,549.59,563.70,578.66,594.93,613.70,636.54,664.61,697.55,735.14,778.71,829.85,889.16,958.42,1035.92,1114.65,1185.08,1240.86,1278.15,1299.94,1315.03,1336.07,1371.85,1425.79,1494.08,1569.44,1641.16,1701.58
Equatorial Guinea,226,Country/Area,225.53,230.91,234.19,236.32,238.03,239.87,242.14,244.96,248.25,251.77,255.34,258.79,262.22,266.01,270.62,276.30,283.51,291.79,299.42,304.00,303.99,298.85,289.51,277.66,265.76,255.81,247.97,242.16,239.68,241.98,249.93,264.37,284.64,308.21,331.55,352.12,369.02,382.98,394.97,406.62,419.19,432.84,447.27,462.64,479.10,496.77,515.84,536.46,558.50,581.77,606.18,631.66,658.39,686.67,716.95,749.53,784.49,821.69,860.84,901.59,943.64,986.86,1031.19,1076.41,1122.27,1168.58,1215.18,1262.01,1308.97,1355.98,1402.99
Trinidad and Tobago,780,Country/Area,645.63,658.75,675.58,695.25,716.88,739.70,762.98,786.02,808.22,829.03,847.97,864.81,879.44,891.95,902.62,911.74,919.22,925.23,930.79,937.18,945.36,955.75,968.14,982.01,996.48,1010.93,1025.10,1039.21,1053.56,1068.64,1084.74,1101.98,1120.02,1138.07,1155.08,1170.30,1183.38,1194.53,1204.15,1212.86,1221.12,1229.11,1236.69,1243.61,1249.53,1254.20,1257.55,1259.84,1261.70,1263.93,1267.16,1271.63,1277.21,1283.56,1290.12,1296.50,1302.55,1308.45,1314.45,1320.92,1328.14,1336.18,1344.81,1353.71,1362.34,1370.33,1377.56,1384.06,1389.84,1394.97,1399.49
Estonia,233,Country/Area,1101.00,1113.24,1125.24,1136.91,1148.21,1159.23,1170.09,1181.02,1192.26,1204.11,1216.82,1230.50,1245.08,1260.22,1275.44,1290.41,1304.98,1319.25,1333.17,1346.82,1360.21,1373.30,1386.07,1398.47,1410.47,1422.05,1433.17,1443.89,1454.27,1464.42,1474.44,1483.88,1492.64,1501.42,1511.19,1522.41,1536.03,1551.21,1564.20,1569.97,1565.25,1548.22,1520.81,1488.06,1457.09,1433.03,1417.74,1409.68,1406.35,1403.78,1399.11,1391.74,1382.74,1372.90,1363.57,1355.65,1349.37,1344.30,1340.07,1336.14,1332.10,1327.70,1323.16,1319.07,1316.27,1315.33,1316.51,1319.39,1322.91,1325.65,1326.54
Timor-Leste,626,Country/Area,414.75,418.68,423.12,428.05,433.42,439.22,445.44,452.08,459.15,466.62,474.54,482.85,491.58,500.65,510.04,519.68,529.33,538.91,548.82,559.62,571.57,585.25,600.19,614.26,624.56,629.23,627.26,619.82,610.05,602.36,599.91,603.84,613.23,626.68,641.85,657.06,671.75,686.48,701.81,718.74,737.81,759.53,783.20,806.87,827.83,844.33,855.36,861.87,866.52,873.14,884.37,901.21,922.70,947.11,971.89,995.13,1016.44,1036.39,1055.43,1074.29,1093.52,1113.15,1133.00,1153.29,1174.33,1196.29,1219.29,1243.26,1267.98,1293.12,1318.44
Mauritius,480,Country/Area,493.26,506.43,521.19,537.05,553.62,570.65,587.95,605.49,623.27,641.42,660.03,679.05,698.31,717.41,735.86,753.28,769.56,784.77,799.14,812.94,826.45,839.59,852.39,865.17,878.36,892.22,906.92,922.33,937.82,952.58,966.04,978.07,988.89,998.62,1007.50,1015.76,1023.28,1030.18,1037.25,1045.59,1055.87,1068.43,1082.95,1098.60,1114.15,1128.68,1141.95,1154.14,1165.29,1175.57,1185.15,1193.91,1201.81,1208.99,1215.67,1222.01,1228.09,1233.89,1239.26,1244.00,1247.95,1251.07,1253.49,1255.46,1257.35,1259.46,1261.87,1264.50,1267.18,1269.67,1271.77
Cyprus,196,Country/Area,494.02,500.38,506.63,513.43,521.19,529.97,539.57,549.47,558.90,566.97,572.93,576.40,577.70,577.92,578.63,580.97,585.31,591.30,598.50,606.12,613.62,620.86,628.00,635.11,642.32,649.75,657.52,665.52,673.25,680.01,685.41,689.17,691.72,694.08,697.72,703.69,712.34,723.38,736.48,751.04,766.62,783.12,800.61,818.75,837.10,855.39,873.43,891.19,908.71,926.05,943.29,960.27,976.97,993.56,1010.41,1027.66,1045.51,1063.71,1081.57,1098.09,1112.62,1124.84,1135.05,1143.87,1152.30,1160.99,1170.19,1179.69,1189.26,1198.57,1207.36
Eswatini,748,Country/Area,273.00,279.36,285.29,291.08,296.94,303.03,309.41,316.04,322.86,329.74,336.58,343.35,350.16,357.28,365.12,373.93,383.82,394.76,406.51,418.74,431.25,443.98,457.04,470.56,484.75,499.76,515.60,532.25,549.79,568.32,587.85,608.37,629.81,652.11,675.24,699.08,723.60,748.63,773.77,798.50,822.42,845.27,867.00,887.71,907.62,926.84,945.51,963.42,979.92,994.11,1005.43,1013.61,1019.05,1022.80,1026.29,1030.58,1036.10,1042.65,1049.95,1057.46,1064.84,1072.03,1079.29,1086.84,1095.02,1104.04,1113.99,1124.81,1136.27,1148.13,1160.16
Djibouti,262,Country/Area,62.00,63.31,64.74,66.27,67.88,69.59,71.49,73.70,76.35,79.62,83.63,88.50,94.20,100.62,107.58,114.98,122.88,131.41,140.46,149.89,159.66,169.37,179.24,190.57,205.18,224.18,248.56,277.47,308.01,336.08,358.96,374.93,385.27,393.80,406.02,425.61,454.36,490.34,528.99,563.86,590.39,606.84,615.05,618.50,622.36,630.39,643.65,660.86,680.47,699.97,717.58,733.02,746.95,759.64,771.60,783.25,794.55,805.46,816.36,827.82,840.19,853.67,868.14,883.30,898.71,914.00,929.12,944.10,958.92,973.56,988.00
Fiji,242,Country/Area,288.99,296.25,304.88,314.45,324.58,335.10,345.87,356.94,368.43,380.56,393.48,407.24,421.67,436.30,450.54,463.96,476.40,487.97,498.94,509.71,520.56,531.62,542.84,554.14,565.42,576.63,587.56,598.30,609.38,621.58,635.31,651.03,668.28,685.50,700.48,711.77,718.64,721.78,722.92,724.60,728.58,735.40,744.47,754.96,765.61,775.43,784.39,792.74,800.15,806.30,811.01,813.92,815.26,816.08,817.86,821.61,827.87,836.19,845.36,853.64,859.82,863.45,865.07,865.60,866.45,868.63,872.41,877.46,883.49,889.96,896.44
Réunion,638,Country/Area,248.11,259.29,268.48,276.52,284.08,291.66,299.58,307.98,316.88,326.17,335.69,345.41,355.43,366.09,377.80,390.77,405.29,421.00,436.69,450.74,462.03,470.12,475.48,478.91,481.69,484.79,488.35,492.29,496.91,502.50,509.26,517.42,526.95,537.40,548.14,558.70,568.91,578.94,588.99,599.45,610.58,622.41,634.79,647.59,660.57,673.54,686.46,699.31,712.00,724.48,736.71,748.65,760.25,771.38,781.86,791.60,800.53,808.73,816.33,823.53,830.51,837.34,843.98,850.51,856.96,863.36,869.74,876.13,882.53,888.93,895.31
Comoros,174,Country/Area,159.46,163.15,166.54,169.75,172.85,175.91,178.95,181.99,185.05,188.09,191.12,194.15,197.20,200.37,203.76,207.43,211.48,215.90,220.57,225.32,230.06,234.65,239.23,244.21,250.11,257.29,265.96,275.90,286.63,297.45,307.83,317.62,326.94,336.09,345.46,355.34,365.77,376.65,387.96,399.64,411.60,423.87,436.45,449.27,462.28,475.39,488.63,501.96,515.38,528.85,542.36,555.90,569.48,583.21,597.23,611.63,626.43,641.62,657.23,673.25,689.70,706.58,723.87,741.51,759.39,777.44,795.60,813.89,832.32,850.89,869.60
Guyana,328,Country/Area,406.56,418.68,432.82,448.46,465.17,482.56,500.32,518.25,536.22,554.09,571.81,589.27,606.29,622.58,637.84,651.87,664.52,675.86,686.14,695.74,704.93,713.68,721.95,729.91,737.85,745.85,754.10,762.42,770.13,776.26,780.15,781.73,781.25,778.95,775.22,770.44,764.45,757.45,750.64,745.58,743.31,744.48,748.60,754.14,758.90,761.30,760.80,757.98,753.78,749.68,746.72,745.21,744.79,745.14,745.74,746.16,746.34,746.48,746.82,747.72,749.43,752.03,755.39,759.28,763.37,767.43,771.36,775.22,779.01,782.78,786.56
Bhutan,64,Country/Area,176.80,180.81,184.76,188.78,193.01,197.46,202.19,207.20,212.42,217.81,223.28,228.85,234.55,240.53,246.96,253.99,261.66,269.94,278.73,287.89,297.31,306.96,316.82,326.99,337.49,348.40,359.72,371.42,383.32,395.19,406.88,418.11,428.94,439.82,451.47,464.26,478.68,494.31,509.53,522.17,530.80,534.64,534.53,532.59,531.91,534.63,541.47,551.71,564.38,577.89,591.01,603.64,616.03,627.84,638.81,648.74,657.40,664.87,671.61,678.33,685.50,693.30,701.58,710.24,719.05,727.89,736.71,745.56,754.40,763.09,771.61
Solomon Islands,90,Country/Area,89.79,91.79,94.06,96.54,99.19,102.00,104.94,107.99,111.16,114.44,117.85,121.39,125.04,128.84,132.77,136.82,141.00,145.32,149.89,154.83,160.24,166.16,172.55,179.31,186.30,193.40,200.60,207.89,215.30,222.84,230.55,238.42,246.45,254.57,262.69,270.79,278.83,286.87,294.98,303.27,311.87,320.78,330.00,339.50,349.27,359.28,369.52,380.00,390.70,401.59,412.67,423.95,435.43,447.02,458.55,469.92,481.09,492.13,503.37,515.18,527.86,541.52,556.07,571.33,587.08,603.13,619.44,636.03,652.86,669.82,686.88
"China, Macao SAR",446,Country/Area,196.47,200.49,201.27,199.29,195.13,189.46,183.03,176.75,171.53,168.28,167.80,170.47,176.19,184.25,193.56,203.22,213.19,223.42,233.00,240.84,246.19,248.75,248.77,246.95,244.29,241.63,239.07,236.67,235.18,235.44,238.09,243.37,251.15,260.92,271.91,283.49,295.60,308.18,320.77,332.78,343.82,353.62,362.31,370.20,377.81,385.52,393.38,401.35,409.62,418.39,427.77,437.93,448.81,460.16,471.60,482.86,493.80,504.50,515.23,526.40,538.22,550.83,564.04,577.37,590.21,602.09,612.82,622.58,631.63,640.45,649.34
Montenegro,499,Country/Area,394.74,400.87,410.51,421.73,433.14,443.80,453.32,461.81,469.78,478.07,487.42,498.13,509.71,520.71,529.18,533.82,533.92,530.23,524.85,520.65,519.70,522.78,529.21,537.77,546.57,554.26,560.42,565.51,570.06,574.95,580.76,587.69,595.35,602.97,609.44,614.01,616.36,616.79,616.05,615.21,615.00,615.74,617.18,618.86,620.08,620.42,619.71,618.22,616.34,614.65,613.56,613.17,613.37,614.08,615.14,616.39,617.86,619.55,621.31,622.93,624.28,625.27,625.93,626.34,626.65,626.96,627.27,627.56,627.80,627.99,628.06
Luxembourg,442,Country/Area,296.01,297.59,299.50,301.51,303.45,305.26,306.94,308.56,310.26,312.22,314.59,317.44,320.70,324.13,327.36,330.16,332.42,334.23,335.83,337.57,339.67,342.23,345.10,348.18,351.19,353.98,356.57,358.96,361.08,362.80,364.05,364.78,365.10,365.30,365.80,366.88,368.66,371.08,374.12,377.71,381.78,386.36,391.40,396.81,402.44,408.15,414.00,419.98,425.83,431.26,436.11,440.20,443.73,447.32,451.82,457.85,465.61,474.92,485.40,496.54,507.89,519.31,530.86,542.55,554.51,566.74,579.27,591.91,604.24,615.73,625.98
Western Sahara,732,Country/Area,13.76,16.05,17.58,18.73,19.83,21.15,22.80,24.84,27.24,29.91,32.76,35.73,38.85,42.31,46.31,50.97,56.63,63.12,69.48,74.34,76.88,76.37,73.48,70.40,70.21,74.95,85.61,101.18,119.33,136.70,150.86,161.06,168.06,172.90,177.27,182.42,188.60,195.44,202.72,210.07,217.26,224.39,231.73,239.33,247.26,255.64,264.11,272.84,283.07,296.51,314.12,336.65,363.23,391.18,416.80,437.52,452.36,462.21,468.63,474.05,480.27,487.65,495.77,504.86,514.98,526.21,538.74,552.62,567.40,582.46,597.33
Suriname,740,Country/Area,215.00,222.45,229.21,235.69,242.21,249.00,256.18,263.76,271.67,279.76,287.87,295.91,303.89,311.95,320.27,328.94,338.16,347.67,356.55,363.57,367.93,369.23,367.91,364.91,361.67,359.23,357.95,357.65,358.10,358.83,359.53,360.14,360.93,362.28,364.72,368.64,374.13,381.03,388.88,397.08,405.17,413.01,420.66,428.03,435.10,441.85,448.21,454.17,459.84,465.38,470.94,476.57,482.23,487.94,493.68,499.46,505.29,511.18,517.12,523.11,529.13,535.18,541.25,547.30,553.28,559.14,564.88,570.50,575.99,581.36,586.63
Cabo Verde,132,Country/Area,178.06,186.08,191.45,194.72,196.46,197.19,197.42,197.59,198.13,199.43,201.77,205.32,210.14,216.09,222.95,230.42,238.66,247.52,256.17,263.46,268.63,271.32,271.84,271.07,270.23,270.24,271.35,273.34,276.18,279.73,283.85,288.68,294.24,300.23,306.14,311.67,316.61,321.14,325.74,331.18,337.95,346.23,355.76,366.06,376.41,386.29,395.53,404.25,412.51,420.46,428.18,435.70,442.96,449.93,456.62,463.03,469.17,475.07,480.85,486.67,492.64,498.86,505.24,511.74,518.28,524.74,531.14,537.50,543.76,549.94,555.99
Maldives,462,Country/Area,73.72,74.22,75.19,76.49,78.02,79.70,81.51,83.42,85.43,87.59,89.87,92.33,94.90,97.54,100.18,102.71,105.13,107.48,109.89,112.58,115.69,119.30,123.35,127.70,132.10,136.42,140.56,144.63,148.77,153.28,158.27,163.82,169.85,176.26,182.85,189.54,196.26,203.02,209.79,216.50,223.16,229.74,236.27,242.60,248.58,254.14,259.18,263.84,268.45,273.52,279.40,286.31,294.19,302.68,311.27,319.60,327.49,335.17,343.45,353.39,365.73,380.49,397.23,415.59,435.02,454.91,475.51,496.40,515.70,530.96,540.54
Malta,470,Country/Area,312.00,312.22,312.75,313.27,313.56,313.52,313.20,312.70,312.30,312.32,312.97,314.41,316.52,318.89,320.93,322.24,322.70,322.46,321.76,321.03,320.55,320.36,320.44,320.80,321.44,322.36,323.58,325.13,326.98,329.12,331.49,334.12,336.96,339.98,343.10,346.25,349.43,352.62,355.80,358.94,362.02,364.99,367.89,370.77,373.75,376.89,380.26,383.76,387.28,390.63,393.65,396.32,398.72,400.86,402.82,404.66,406.33,407.85,409.49,411.56,414.26,417.72,421.81,426.14,430.19,433.56,436.10,437.94,439.26,440.38,441.54
Brunei Darussalam,96,Country/Area,48.01,50.93,53.89,56.92,60.06,63.37,66.81,70.39,74.10,77.88,81.71,85.56,89.48,93.54,97.82,102.39,107.27,112.45,117.90,123.60,129.53,135.67,142.02,148.52,155.07,161.64,168.17,174.72,181.20,187.60,193.88,200.03,206.06,212.07,218.18,224.44,230.92,237.57,244.41,251.46,258.71,266.21,273.89,281.68,289.45,297.11,304.62,311.96,319.14,326.21,333.17,340.04,346.78,353.30,359.43,365.11,370.26,374.97,379.42,383.90,388.63,393.69,399.00,404.41,409.78,414.91,419.79,424.48,428.96,433.30,437.48
Guadeloupe,312,Country/Area,210.00,213.34,217.58,222.80,228.99,236.05,243.84,252.03,260.25,268.08,275.17,281.31,286.54,291.11,295.51,300.06,304.87,309.77,314.50,318.63,321.89,324.17,325.64,326.58,327.43,328.49,330.01,331.92,333.92,335.59,336.68,336.93,336.61,336.68,338.43,342.74,350.06,359.91,370.91,381.14,389.25,394.62,397.69,399.38,401.07,403.73,407.78,412.74,417.62,421.04,422.05,420.25,416.13,410.87,406.07,402.90,401.81,402.41,403.97,405.44,406.07,405.64,404.45,402.83,401.31,400.26,399.76,399.68,399.85,400.05,400.13
Belize,84,Country/Area,68.92,71.24,73.43,75.55,77.69,79.87,82.13,84.51,86.95,89.49,92.07,94.70,97.39,100.17,103.07,106.12,109.35,112.71,116.07,119.27,122.18,124.80,127.15,129.29,131.31,133.26,135.14,136.99,138.98,141.30,144.14,147.57,151.49,155.82,160.34,164.92,169.57,174.33,179.02,183.47,187.55,191.14,194.32,197.63,201.68,206.96,213.66,221.58,230.25,238.98,247.31,255.07,262.39,269.43,276.52,283.80,291.34,299.03,306.82,314.66,322.47,330.24,338.00,345.71,353.37,360.93,368.40,375.78,383.07,390.35,397.62
Bahamas,44,Country/Area,79.09,79.99,81.43,83.37,85.78,88.63,91.90,95.62,99.78,104.42,109.53,115.12,121.09,127.34,133.71,140.06,146.38,152.62,158.65,164.27,169.38,173.89,177.86,181.52,185.11,188.90,192.90,197.10,201.48,205.99,210.59,215.32,220.18,225.10,229.91,234.58,239.02,243.27,247.45,251.74,256.23,261.01,266.03,271.07,275.85,280.18,283.98,287.36,290.60,294.06,298.05,302.62,307.66,313.12,318.89,324.85,331.03,337.39,343.68,349.60,354.94,359.58,363.58,367.16,370.63,374.20,377.92,381.75,385.64,389.49,393.25
Martinique,474,Country/Area,222.00,224.41,228.27,233.26,239.15,245.68,252.65,259.88,267.21,274.49,281.63,288.48,294.96,300.95,306.36,311.12,315.17,318.50,321.17,323.32,325.01,326.33,327.30,327.88,328.07,327.84,327.18,326.20,325.30,324.93,325.45,326.99,329.45,332.60,336.17,339.88,343.74,347.75,351.71,355.34,358.46,360.89,362.76,364.37,366.25,368.73,371.91,375.64,379.64,383.53,387.02,389.98,392.50,394.53,396.11,397.19,397.85,398.05,397.66,396.56,394.67,391.89,388.37,384.58,381.14,378.48,376.79,375.95,375.67,375.56,375.27
Iceland,352,Country/Area,142.66,144.94,147.71,150.81,154.16,157.64,161.20,164.79,168.40,171.99,175.58,179.18,182.71,186.13,189.35,192.32,194.99,197.41,199.67,201.97,204.42,207.10,209.93,212.80,215.57,218.08,220.28,222.27,224.15,226.10,228.26,230.67,233.27,236.02,238.82,241.59,244.34,247.06,249.76,252.42,255.04,257.62,260.16,262.65,265.14,267.63,270.14,272.71,275.29,277.87,280.44,282.91,285.33,287.96,291.10,294.98,299.73,305.18,310.86,316.06,320.34,323.47,325.64,327.19,328.59,330.24,332.21,334.40,336.71,339.04,341.25
Vanuatu,548,Country/Area,47.70,48.92,50.29,51.77,53.31,54.92,56.56,58.24,59.98,61.79,63.69,65.70,67.79,69.94,72.12,74.27,76.39,78.51,80.65,82.92,85.37,88.01,90.80,93.75,96.77,99.86,103.00,106.21,109.40,112.54,115.60,118.55,121.40,124.21,127.06,129.99,132.99,136.08,139.32,142.80,146.58,150.72,155.18,159.74,164.13,168.16,171.72,174.92,177.99,181.26,184.96,189.21,193.93,198.96,204.12,209.28,214.38,219.46,224.70,230.24,236.22,242.66,249.51,256.64,263.89,271.13,278.33,285.50,292.68,299.88,307.15
French Guiana,254,Country/Area,25.48,26.24,26.90,27.47,27.98,28.49,29.03,29.62,30.31,31.09,32.03,33.12,34.38,35.77,37.28,38.89,40.62,42.43,44.31,46.15,47.93,49.62,51.27,52.88,54.52,56.22,58.00,59.87,61.94,64.28,66.97,70.02,73.41,77.23,81.57,86.44,91.95,97.97,104.22,110.26,115.78,120.69,125.08,129.15,133.19,137.40,141.79,146.33,151.25,156.81,163.16,170.44,178.55,187.03,195.31,202.97,209.89,216.18,222.00,227.54,233.00,238.38,243.67,249.05,254.78,261.01,267.82,275.19,282.94,290.82,298.68
Barbados,52,Country/Area,210.99,215.72,219.67,222.85,225.32,227.13,228.41,229.27,229.88,230.40,230.99,231.72,232.62,233.63,234.59,235.42,236.08,236.66,237.24,237.96,238.90,240.09,241.52,243.08,244.64,246.16,247.58,248.93,250.20,251.35,252.39,253.30,254.08,254.79,255.49,256.26,257.12,258.01,258.97,259.96,260.93,261.91,262.89,263.87,264.89,265.96,267.05,268.18,269.33,270.46,271.51,272.49,273.42,274.33,275.28,276.32,277.48,278.70,279.95,281.11,282.13,282.99,283.70,284.29,284.83,285.33,285.80,286.23,286.64,287.02,287.37
New Caledonia,540,Country/Area,64.82,64.26,64.41,65.13,66.27,67.74,69.47,71.37,73.44,75.67,78.06,80.58,83.21,85.90,88.57,91.19,93.69,96.07,98.61,101.63,105.32,109.82,114.98,120.43,125.65,130.27,134.17,137.46,140.26,142.77,145.14,147.40,149.54,151.63,153.75,155.99,158.35,160.87,163.66,166.78,170.34,174.34,178.76,183.48,188.37,193.30,198.24,203.19,208.07,212.78,217.26,221.50,225.48,229.25,232.88,236.44,239.92,243.33,246.70,250.08,253.53,257.07,260.66,264.24,267.73,271.06,274.19,277.16,279.99,282.76,285.49
